Local time,Open,High,Low,Close,Volume
02.12.2024 09:05:00.000 GMT+0530,1.05237,1.05259,1.05231,1.05239,1177.91
02.12.2024 09:10:00.000 GMT+0530,1.05239,1.05246,1.05229,1.05233,1001.07
02.12.2024 09:15:00.000 GMT+0530,1.05231,1.05250,1.05230,1.05242,763.26
02.12.2024 09:20:00.000 GMT+0530,1.05243,1.05260,1.05233,1.05234,807.1200000000001
02.12.2024 09:25:00.000 GMT+0530,1.05233,1.05242,1.05214,1.05235,431.42999999999995
02.12.2024 09:30:00.000 GMT+0530,1.05235,1.05235,1.05220,1.05234,495
02.12.2024 09:35:00.000 GMT+0530,1.05235,1.05247,1.05229,1.05237,493.73
02.12.2024 09:40:00.000 GMT+0530,1.05236,1.05247,1.05225,1.05242,288.99
02.12.2024 09:45:00.000 GMT+0530,1.05241,1.05242,1.05226,1.05228,458.28
02.12.2024 09:50:00.000 GMT+0530,1.05227,1.05254,1.05227,1.05254,684.2099999999999
02.12.2024 09:55:00.000 GMT+0530,1.05254,1.05290,1.05254,1.05270,523.35
02.12.2024 10:00:00.000 GMT+0530,1.05271,1.05283,1.05270,1.05273,434.61
02.12.2024 10:05:00.000 GMT+0530,1.05274,1.05275,1.05240,1.05240,378.45000000000005
02.12.2024 10:10:00.000 GMT+0530,1.05241,1.05259,1.05228,1.05229,598.3
02.12.2024 10:15:00.000 GMT+0530,1.05230,1.05234,1.05206,1.05207,582.12
02.12.2024 10:20:00.000 GMT+0530,1.05206,1.05230,1.05189,1.05209,843.96
02.12.2024 10:25:00.000 GMT+0530,1.05210,1.05239,1.05205,1.05233,703.98
02.12.2024 10:30:00.000 GMT+0530,1.05233,1.05241,1.05217,1.05235,796.71
02.12.2024 10:35:00.000 GMT+0530,1.05235,1.05240,1.05218,1.05225,695.5699999999999
02.12.2024 10:40:00.000 GMT+0530,1.05227,1.05239,1.05223,1.05228,596.97
02.12.2024 10:45:00.000 GMT+0530,1.05226,1.05226,1.05172,1.05179,1006.14
02.12.2024 10:50:00.000 GMT+0530,1.05182,1.05198,1.05151,1.05191,780.74
02.12.2024 10:55:00.000 GMT+0530,1.05190,1.05219,1.05183,1.05219,1029.78
02.12.2024 11:00:00.000 GMT+0530,1.05221,1.05243,1.05214,1.05216,757.76
02.12.2024 11:05:00.000 GMT+0530,1.05217,1.05241,1.05208,1.05240,824.6700000000001
02.12.2024 11:10:00.000 GMT+0530,1.05241,1.05267,1.05231,1.05261,837.99
02.12.2024 11:15:00.000 GMT+0530,1.05261,1.05273,1.05260,1.05264,833.16
02.12.2024 11:20:00.000 GMT+0530,1.05265,1.05282,1.05240,1.05248,1208.4199999999998
02.12.2024 11:25:00.000 GMT+0530,1.05247,1.05247,1.05215,1.05219,1453.52
02.12.2024 11:30:00.000 GMT+0530,1.05218,1.05241,1.05213,1.05222,1262.97
02.12.2024 11:35:00.000 GMT+0530,1.05222,1.05248,1.05220,1.05242,1034.87
02.12.2024 11:40:00.000 GMT+0530,1.05244,1.05276,1.05243,1.05259,1016.12
02.12.2024 11:45:00.000 GMT+0530,1.05260,1.05268,1.05235,1.05238,1217.51
02.12.2024 11:50:00.000 GMT+0530,1.05239,1.05246,1.05230,1.05243,1456.9299999999998
02.12.2024 11:55:00.000 GMT+0530,1.05243,1.05270,1.05241,1.05254,839.6300000000001
02.12.2024 12:00:00.000 GMT+0530,1.05254,1.05269,1.05235,1.05259,1256.8100000000002
02.12.2024 12:05:00.000 GMT+0530,1.05260,1.05333,1.05257,1.05329,1828.28
02.12.2024 12:10:00.000 GMT+0530,1.05329,1.05334,1.05305,1.05315,653.51
02.12.2024 12:15:00.000 GMT+0530,1.05316,1.05357,1.05300,1.05310,1572
02.12.2024 12:20:00.000 GMT+0530,1.05310,1.05350,1.05289,1.05350,1151.97
02.12.2024 12:25:00.000 GMT+0530,1.05351,1.05361,1.05326,1.05328,1503.6000000000001
02.12.2024 12:30:00.000 GMT+0530,1.05330,1.05370,1.05295,1.05296,2493.46
02.12.2024 12:35:00.000 GMT+0530,1.05295,1.05298,1.05197,1.05219,2966.2200000000003
02.12.2024 12:40:00.000 GMT+0530,1.05217,1.05255,1.05156,1.05174,2873.8599999999997
02.12.2024 12:45:00.000 GMT+0530,1.05173,1.05174,1.05070,1.05145,3209.1200000000003
02.12.2024 12:50:00.000 GMT+0530,1.05144,1.05230,1.05144,1.05185,2807
02.12.2024 12:55:00.000 GMT+0530,1.05184,1.05220,1.05174,1.05200,1983.63
02.12.2024 13:00:00.000 GMT+0530,1.05199,1.05199,1.05125,1.05130,2641.97
02.12.2024 13:05:00.000 GMT+0530,1.05130,1.05147,1.05086,1.05099,2758.64
02.12.2024 13:10:00.000 GMT+0530,1.05100,1.05141,1.05058,1.05061,2576.08
02.12.2024 13:15:00.000 GMT+0530,1.05060,1.05102,1.05043,1.05099,2603.64
02.12.2024 13:20:00.000 GMT+0530,1.05100,1.05111,1.05036,1.05079,3038.5200000000004
02.12.2024 13:25:00.000 GMT+0530,1.05076,1.05076,1.05018,1.05027,2745.8500000000004
02.12.2024 13:30:00.000 GMT+0530,1.05027,1.05033,1.04959,1.04974,3644.4799999999996
02.12.2024 13:35:00.000 GMT+0530,1.04974,1.05077,1.04974,1.05074,2726.75
02.12.2024 13:40:00.000 GMT+0530,1.05074,1.05124,1.05053,1.05078,2889.55
02.12.2024 13:45:00.000 GMT+0530,1.05078,1.05078,1.04973,1.05024,3182.27
02.12.2024 13:50:00.000 GMT+0530,1.05024,1.05086,1.05008,1.05084,2030.1399999999999
02.12.2024 13:55:00.000 GMT+0530,1.05086,1.05104,1.05059,1.05059,1677.6200000000001
02.12.2024 14:00:00.000 GMT+0530,1.05059,1.05065,1.04971,1.05005,2783.96
02.12.2024 14:05:00.000 GMT+0530,1.05005,1.05023,1.04971,1.04980,2951.2299999999996
02.12.2024 14:10:00.000 GMT+0530,1.04980,1.05045,1.04968,1.05045,2628.17
02.12.2024 14:15:00.000 GMT+0530,1.05048,1.05048,1.04972,1.05033,2826.8
02.12.2024 14:20:00.000 GMT+0530,1.05033,1.05041,1.04975,1.04979,2526.24
02.12.2024 14:25:00.000 GMT+0530,1.04980,1.05040,1.04973,1.05020,2939.5700000000006
02.12.2024 14:30:00.000 GMT+0530,1.05019,1.05136,1.05019,1.05111,2710.0899999999997
02.12.2024 14:35:00.000 GMT+0530,1.05111,1.05146,1.05105,1.05142,1934.1000000000001
02.12.2024 14:40:00.000 GMT+0530,1.05144,1.05182,1.05107,1.05137,2442.62
02.12.2024 14:45:00.000 GMT+0530,1.05138,1.05153,1.05090,1.05136,2021.0500000000002
02.12.2024 14:50:00.000 GMT+0530,1.05136,1.05162,1.05110,1.05110,2188.56
02.12.2024 14:55:00.000 GMT+0530,1.05112,1.05140,1.05105,1.05126,1809.69
02.12.2024 15:00:00.000 GMT+0530,1.05126,1.05171,1.05120,1.05157,1521.57
02.12.2024 15:05:00.000 GMT+0530,1.05158,1.05175,1.05138,1.05152,1457.03
02.12.2024 15:10:00.000 GMT+0530,1.05151,1.05151,1.05109,1.05119,1549.55
02.12.2024 15:15:00.000 GMT+0530,1.05119,1.05120,1.05081,1.05111,1714.48
02.12.2024 15:20:00.000 GMT+0530,1.05110,1.05178,1.05091,1.05176,1373.36
02.12.2024 15:25:00.000 GMT+0530,1.05177,1.05191,1.05129,1.05135,1060.33
02.12.2024 15:30:00.000 GMT+0530,1.05133,1.05142,1.05091,1.05125,1295.68
02.12.2024 15:35:00.000 GMT+0530,1.05126,1.05154,1.05115,1.05147,1134.35
02.12.2024 15:40:00.000 GMT+0530,1.05149,1.05181,1.05062,1.05089,2180.9799000000003
02.12.2024 15:45:00.000 GMT+0530,1.05089,1.05152,1.05064,1.05126,3312.42
02.12.2024 15:50:00.000 GMT+0530,1.05126,1.05190,1.05119,1.05126,3318.96
02.12.2024 15:55:00.000 GMT+0530,1.05125,1.05149,1.05120,1.05140,1521.08
02.12.2024 16:00:00.000 GMT+0530,1.05139,1.05139,1.05085,1.05120,2093.3599999999997
02.12.2024 16:05:00.000 GMT+0530,1.05120,1.05165,1.05107,1.05141,1084.55
02.12.2024 16:10:00.000 GMT+0530,1.05144,1.05156,1.05091,1.05131,1176.03
02.12.2024 16:15:00.000 GMT+0530,1.05131,1.05239,1.05130,1.05213,1526.3999999999999
02.12.2024 16:20:00.000 GMT+0530,1.05213,1.05213,1.05169,1.05195,1729.55
02.12.2024 16:25:00.000 GMT+0530,1.05196,1.05229,1.05188,1.05217,1172.5
02.12.2024 16:30:00.000 GMT+0530,1.05216,1.05237,1.05211,1.05220,1068.88
02.12.2024 16:35:00.000 GMT+0530,1.05219,1.05232,1.05202,1.05216,1042.2
02.12.2024 16:40:00.000 GMT+0530,1.05216,1.05270,1.05209,1.05235,1280.56
02.12.2024 16:45:00.000 GMT+0530,1.05234,1.05253,1.05216,1.05240,882.65
02.12.2024 16:50:00.000 GMT+0530,1.05241,1.05272,1.05234,1.05242,1016.1299999999999
02.12.2024 16:55:00.000 GMT+0530,1.05243,1.05275,1.05232,1.05265,723.56
02.12.2024 17:00:00.000 GMT+0530,1.05264,1.05278,1.05251,1.05270,951.2400000000001
02.12.2024 17:05:00.000 GMT+0530,1.05272,1.05288,1.05250,1.05260,1120.8
02.12.2024 17:10:00.000 GMT+0530,1.05263,1.05280,1.05247,1.05252,950.1899999999999
02.12.2024 17:15:00.000 GMT+0530,1.05250,1.05265,1.05231,1.05256,1069.6799999999998
02.12.2024 17:20:00.000 GMT+0530,1.05255,1.05255,1.05206,1.05231,1475.7799999999997
02.12.2024 17:25:00.000 GMT+0530,1.05231,1.05231,1.05206,1.05229,1002.0900000000001
02.12.2024 17:30:00.000 GMT+0530,1.05229,1.05241,1.05171,1.05180,1611.49
02.12.2024 17:35:00.000 GMT+0530,1.05181,1.05277,1.05181,1.05266,1128.03
02.12.2024 17:40:00.000 GMT+0530,1.05266,1.05382,1.05229,1.05330,3193.77
02.12.2024 17:45:00.000 GMT+0530,1.05329,1.05332,1.05273,1.05278,2488.25
02.12.2024 17:50:00.000 GMT+0530,1.05278,1.05288,1.05221,1.05223,1796.1399999999999
02.12.2024 17:55:00.000 GMT+0530,1.05222,1.05244,1.05187,1.05196,1662.38
02.12.2024 18:00:00.000 GMT+0530,1.05196,1.05223,1.05181,1.05219,1520.7
02.12.2024 18:05:00.000 GMT+0530,1.05219,1.05220,1.05100,1.05103,2236.37
02.12.2024 18:10:00.000 GMT+0530,1.05103,1.05154,1.05102,1.05146,1858.9699999999998
02.12.2024 18:15:00.000 GMT+0530,1.05145,1.05164,1.05084,1.05092,1455.03
02.12.2024 18:20:00.000 GMT+0530,1.05093,1.05102,1.04968,1.04977,2273.12
02.12.2024 18:25:00.000 GMT+0530,1.04976,1.05027,1.04950,1.05009,2386.96
02.12.2024 18:30:00.000 GMT+0530,1.05008,1.05068,1.05005,1.05060,1905.6799999999998
02.12.2024 18:35:00.000 GMT+0530,1.05061,1.05085,1.05050,1.05066,1697.47
02.12.2024 18:40:00.000 GMT+0530,1.05066,1.05097,1.05060,1.05087,1479.8700000000001
02.12.2024 18:45:00.000 GMT+0530,1.05089,1.05116,1.05069,1.05084,1620.3
02.12.2024 18:50:00.000 GMT+0530,1.05084,1.05097,1.05065,1.05095,1570.5
02.12.2024 18:55:00.000 GMT+0530,1.05096,1.05142,1.05076,1.05097,1737.73
02.12.2024 19:00:00.000 GMT+0530,1.05098,1.05101,1.05049,1.05072,1723.22
02.12.2024 19:05:00.000 GMT+0530,1.05074,1.05082,1.05025,1.05028,1506.75
02.12.2024 19:10:00.000 GMT+0530,1.05026,1.05066,1.04998,1.05013,3523.7300000000005
02.12.2024 19:15:00.000 GMT+0530,1.05011,1.05048,1.04961,1.05025,3959.45
02.12.2024 19:20:00.000 GMT+0530,1.05025,1.05105,1.05013,1.05105,3164.37
02.12.2024 19:25:00.000 GMT+0530,1.05104,1.05104,1.05018,1.05056,3914.3199999999997
02.12.2024 19:30:00.000 GMT+0530,1.05057,1.05147,1.05057,1.05110,3396
02.12.2024 19:35:00.000 GMT+0530,1.05106,1.05114,1.05072,1.05075,2038.9999999999998
02.12.2024 19:40:00.000 GMT+0530,1.05076,1.05083,1.05019,1.05082,3974.7
02.12.2024 19:45:00.000 GMT+0530,1.05083,1.05090,1.05028,1.05051,2742.57
02.12.2024 19:50:00.000 GMT+0530,1.05052,1.05055,1.04967,1.04967,3143.6400000000003
02.12.2024 19:55:00.000 GMT+0530,1.04966,1.04972,1.04906,1.04937,2511.12
02.12.2024 20:00:00.000 GMT+0530,1.04938,1.04955,1.04881,1.04937,2861.7599999999998
02.12.2024 20:05:00.000 GMT+0530,1.04936,1.04936,1.04870,1.04872,2926.42
02.12.2024 20:10:00.000 GMT+0530,1.04872,1.04880,1.04804,1.04839,2944.6099999999997
02.12.2024 20:15:00.000 GMT+0530,1.04840,1.04840,1.04751,1.04781,3005.33
02.12.2024 20:20:00.000 GMT+0530,1.04780,1.04798,1.04762,1.04765,2234.2200000000003
02.12.2024 20:25:00.000 GMT+0530,1.04765,1.04792,1.04724,1.04737,3272.7000000000003
02.12.2024 20:30:00.000 GMT+0530,1.04735,1.04808,1.04620,1.04689,6264.6201
02.12.2024 20:35:00.000 GMT+0530,1.04688,1.04771,1.04685,1.04733,3848.85
02.12.2024 20:40:00.000 GMT+0530,1.04731,1.04736,1.04659,1.04678,3745.1699999999996
02.12.2024 20:45:00.000 GMT+0530,1.04677,1.04736,1.04671,1.04735,3882.34
02.12.2024 20:50:00.000 GMT+0530,1.04737,1.04793,1.04721,1.04741,3431.5600000000004
02.12.2024 20:55:00.000 GMT+0530,1.04743,1.04747,1.04667,1.04667,3471.87
02.12.2024 21:00:00.000 GMT+0530,1.04667,1.04736,1.04647,1.04692,3264.01
02.12.2024 21:05:00.000 GMT+0530,1.04691,1.04726,1.04661,1.04700,2569.66
02.12.2024 21:10:00.000 GMT+0530,1.04700,1.04737,1.04695,1.04711,2974.53
02.12.2024 21:15:00.000 GMT+0530,1.04712,1.04712,1.04648,1.04702,3610.4199999999996
02.12.2024 21:20:00.000 GMT+0530,1.04702,1.04708,1.04621,1.04626,2664.55
02.12.2024 21:25:00.000 GMT+0530,1.04627,1.04717,1.04626,1.04690,2332.93
02.12.2024 21:30:00.000 GMT+0530,1.04691,1.04708,1.04607,1.04619,2106.3199999999997
02.12.2024 21:35:00.000 GMT+0530,1.04618,1.04667,1.04617,1.04648,1260.15
02.12.2024 21:40:00.000 GMT+0530,1.04649,1.04745,1.04647,1.04715,2158.66
02.12.2024 21:45:00.000 GMT+0530,1.04716,1.04767,1.04706,1.04767,3319.6899999999996
02.12.2024 21:50:00.000 GMT+0530,1.04769,1.04977,1.04769,1.04947,3564.6699
02.12.2024 21:55:00.000 GMT+0530,1.04949,1.04975,1.04893,1.04911,6036.2801
02.12.2024 22:00:00.000 GMT+0530,1.04911,1.04911,1.04815,1.04852,3752.09
02.12.2024 22:05:00.000 GMT+0530,1.04851,1.04862,1.04802,1.04861,2704.53
02.12.2024 22:10:00.000 GMT+0530,1.04860,1.04893,1.04846,1.04848,1882.2600000000002
02.12.2024 22:15:00.000 GMT+0530,1.04849,1.04888,1.04835,1.04862,1445.3100000000002
02.12.2024 22:20:00.000 GMT+0530,1.04865,1.04891,1.04829,1.04830,2394.35
02.12.2024 22:25:00.000 GMT+0530,1.04829,1.04858,1.04800,1.04835,1543.4099999999999
02.12.2024 22:30:00.000 GMT+0530,1.04836,1.04877,1.04815,1.04820,2268.61
02.12.2024 22:35:00.000 GMT+0530,1.04819,1.04873,1.04800,1.04862,1110.03
02.12.2024 22:40:00.000 GMT+0530,1.04863,1.04925,1.04862,1.04921,996.6
02.12.2024 22:45:00.000 GMT+0530,1.04921,1.04956,1.04891,1.04947,1188.57
02.12.2024 22:50:00.000 GMT+0530,1.04947,1.04989,1.04920,1.04936,1158.96
02.12.2024 22:55:00.000 GMT+0530,1.04936,1.04964,1.04928,1.04932,991.03
02.12.2024 23:00:00.000 GMT+0530,1.04931,1.04956,1.04879,1.04891,1236.84
02.12.2024 23:05:00.000 GMT+0530,1.04891,1.04901,1.04875,1.04879,758.06
02.12.2024 23:10:00.000 GMT+0530,1.04879,1.04887,1.04854,1.04859,1372.7399999999998
02.12.2024 23:15:00.000 GMT+0530,1.04857,1.04867,1.04825,1.04843,1678.52
02.12.2024 23:20:00.000 GMT+0530,1.04844,1.04874,1.04829,1.04853,1734.3
02.12.2024 23:25:00.000 GMT+0530,1.04852,1.04874,1.04847,1.04874,600.11
02.12.2024 23:30:00.000 GMT+0530,1.04875,1.04907,1.04872,1.04876,955.62
02.12.2024 23:35:00.000 GMT+0530,1.04877,1.04882,1.04857,1.04857,716.14
02.12.2024 23:40:00.000 GMT+0530,1.04857,1.04910,1.04857,1.04904,1091.19
02.12.2024 23:45:00.000 GMT+0530,1.04905,1.04929,1.04880,1.04903,844.38
02.12.2024 23:50:00.000 GMT+0530,1.04902,1.04928,1.04898,1.04908,784.7099999999999
02.12.2024 23:55:00.000 GMT+0530,1.04908,1.04931,1.04899,1.04906,817.29
03.12.2024 00:00:00.000 GMT+0530,1.04906,1.04906,1.04877,1.04887,1374.89
03.12.2024 00:05:00.000 GMT+0530,1.04889,1.04903,1.04871,1.04896,906.02
03.12.2024 00:10:00.000 GMT+0530,1.04897,1.04905,1.04876,1.04886,799.3100000000001
03.12.2024 00:15:00.000 GMT+0530,1.04887,1.04913,1.04857,1.04864,1166.58
03.12.2024 00:20:00.000 GMT+0530,1.04864,1.04870,1.04851,1.04854,1160.19
03.12.2024 00:25:00.000 GMT+0530,1.04853,1.04906,1.04845,1.04897,1348.13
